name,url,homepage
Beijing Multi-Site Air-Quality Dataset,https://paperswithcode.com/dataset/beijing-air-quality,https://archive.ics.uci.edu/ml/datasets/Beijing+Multi-Site+Air-Quality+Data
Wine,https://paperswithcode.com/dataset/wine,https://archive.ics.uci.edu/ml/datasets/Wine
Thyroid,https://paperswithcode.com/dataset/thyroid,https://archive.ics.uci.edu/ml/datasets/thyroid+disease
Ecoli,https://paperswithcode.com/dataset/ecoli,https://archive.ics.uci.edu/ml/datasets/ecoli
Digits,https://paperswithcode.com/dataset/digits,https://archive.ics.uci.edu/ml/datasets/optical+recognition+of+handwritten+digits
HAR,https://paperswithcode.com/dataset/har,http://archive.ics.uci.edu/ml/datasets/Human+Activity+Recognition+Using+Smartphones
Abalone,https://paperswithcode.com/dataset/abalone,http://archive.ics.uci.edu/ml/datasets/Abalone
Letter,https://paperswithcode.com/dataset/letter,https://archive.ics.uci.edu/ml/datasets/Letter+Recognition
Electricity,https://paperswithcode.com/dataset/electricity,https://archive.ics.uci.edu/ml/datasets/individual+household+electric+power+consumption
Multilingual Reuters,https://paperswithcode.com/dataset/multilingual-reuters,"https://archive.ics.uci.edu/ml/datasets/Reuters+RCV1+RCV2+Multilingual,+Multiview+Text+Categorization+Test+collection"
Kinship,https://paperswithcode.com/dataset/kinship,https://archive.ics.uci.edu/ml/datasets/kinship
Musk v1,https://paperswithcode.com/dataset/musk-v1,https://archive.ics.uci.edu/ml/datasets/Musk+(Version+1)
Musk v2,https://paperswithcode.com/dataset/musk-v2,https://archive.ics.uci.edu/ml/datasets/Musk+(Version+2)
Bach Chorales,https://paperswithcode.com/dataset/bach-chorales,https://archive.ics.uci.edu/ml/datasets/Bach+Chorales
HIGGS Data Set,https://paperswithcode.com/dataset/higgs-data-set,https://archive.ics.uci.edu/ml/datasets/HIGGS
Roman Urdu Data Set,https://paperswithcode.com/dataset/roman-urdu-data-set,https://archive.ics.uci.edu/ml/datasets/Roman+Urdu+Data+Set
SMS Spam Collection Data Set,https://paperswithcode.com/dataset/sms-spam-collection-data-set,http://archive.ics.uci.edu/ml/datasets/SMS+Spam+Collection
Parkinson Speech Dataset,https://paperswithcode.com/dataset/parkinson-speech-dataset,https://archive.ics.uci.edu/ml/datasets/Parkinson+Speech+Dataset+with++Multiple+Types+of+Sound+Recordings
UJIIndoorLoc,https://paperswithcode.com/dataset/ujiindoorloc,https://archive.ics.uci.edu/ml/datasets/ujiindoorloc
Dry Bean Dataset,https://paperswithcode.com/dataset/dry-bean-dataset,https://archive.ics.uci.edu/ml/datasets/Dry+Bean+Dataset
iris,https://paperswithcode.com/dataset/iris-1,https://archive.ics.uci.edu/ml/datasets/iris
australian,https://paperswithcode.com/dataset/australian,https://archive.ics.uci.edu/ml/datasets/statlog+(australian+credit+approval)
seeds,https://paperswithcode.com/dataset/seeds,https://archive.ics.uci.edu/ml/datasets/seeds
Epilepsy seizure prediction,https://paperswithcode.com/dataset/epilepsy-seizure-prediction,https://archive.ics.uci.edu/ml/datasets/Epileptic+Seizure+Recognition
German Credit Dataset,https://paperswithcode.com/dataset/german-credit-dataset,https://archive.ics.uci.edu/ml/datasets/statlog+(german+credit+data)
MONK's Problems,https://paperswithcode.com/dataset/monk-s-problems,https://archive.ics.uci.edu/ml/datasets/MONK%27s+Problems
KDD Cup 1999,https://paperswithcode.com/dataset/kdd-cup-1999-data-data-set,https://archive.ics.uci.edu/ml/datasets/kdd+cup+1999+data
Arcene,https://paperswithcode.com/dataset/arcene,https://archive.ics.uci.edu/ml/datasets/Arcene
PPG  Dalia,https://paperswithcode.com/dataset/ppg-dalia-1,https://archive.ics.uci.edu/ml/datasets/PPG-DaLiA#
Adult Data Set,https://paperswithcode.com/dataset/adult-data-set,https://archive.ics.uci.edu/ml/datasets/adult
CVR,https://paperswithcode.com/dataset/cvr,https://archive.ics.uci.edu/ml/datasets/Congressional+Voting+Records
